"datetime,symbol,strategy,signal,score,pattern,trend,is_vol,is_extreme,status,code,response"
2025-06-09 10:00:08.813753,EUR_USD,MACD-WAVE-CATCH-LITE,SELL,1,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"571" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"571" "requestID":"79395434970886910" "time":"2025-06-09T14:00:08.760524430Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14045" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.13945" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.14105" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "orderCancelTransaction":{"id":"572" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"571" "requestID":"79395434970886910" "time":"2025-06-09T14:00:08.760524430Z" "type":"ORDER_CANCEL" "orderID":"571" "reason":"TAKE_PROFIT_ON_FILL_LOSS"} "relatedTransactionIDs":["571" "572"] "lastTransactionID":"572"}
2025-06-09 10:00:09.132695,EUR_USD,EMA-POWER-ZONE-LITE,SELL,1,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"573" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"573" "requestID":"61381036462945270" "time":"2025-06-09T14:00:09.067821935Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14045" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.13945" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.14115" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "orderCancelTransaction":{"id":"574" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"573" "requestID":"61381036462945270" "time":"2025-06-09T14:00:09.067821935Z" "type":"ORDER_CANCEL" "orderID":"573" "reason":"TAKE_PROFIT_ON_FILL_LOSS"} "relatedTransactionIDs":["573" "574"] "lastTransactionID":"574"}
2025-06-09 10:00:11.551698,EUR_USD,MACD-WAVE-CATCH-LITE,BUY,1,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"575" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"575" "requestID":"97409833492847364" "time":"2025-06-09T14:00:11.483722665Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.13985" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.14085" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.13925" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["575"] "lastTransactionID":"575"}
2025-06-09 10:00:12.280621,USD_JPY,CANDLE-ENGULF-TRAP-LITE,BUY,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:00:12.597170,USD_JPY,CANDLE-ENGULF-TRAP-LITE,SELL,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:00:14.473097,EUR_USD,EMA-POWER-ZONE-LITE,BUY,1,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"576" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"576" "requestID":"61381036483922304" "time":"2025-06-09T14:00:14.418152469Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.13985" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.14085" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.13915" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["576"] "lastTransactionID":"576"}
2025-06-09 10:00:19.435222,USD_JPY,EMA-POWER-ZONE-LITE,BUY,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:00:35.150430,USD_JPY,EMA-POWER-ZONE-LITE,SELL,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:20:03.914306,EUR_USD,RANGE-SCALP-MID-LITE,SELL,1,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"577" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"577" "requestID":"97409838489320103" "time":"2025-06-09T14:20:03.861096024Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14086" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.13386" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.14686" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "orderCancelTransaction":{"id":"578" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"577" "requestID":"97409838489320103" "time":"2025-06-09T14:20:03.861096024Z" "type":"ORDER_CANCEL" "orderID":"577" "reason":"TAKE_PROFIT_ON_FILL_LOSS"} "relatedTransactionIDs":["577" "578"] "lastTransactionID":"578"}
2025-06-09 10:20:04.252025,EUR_USD,RANGE-SCALP-MID-LITE,BUY,1,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"579" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"579" "requestID":"97409838493514717" "time":"2025-06-09T14:20:04.192489061Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14026" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.14726" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.13426" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["579"] "lastTransactionID":"579"}
2025-06-09 10:25:08.268024,USD_JPY,RANGE-SCALP-MID-LITE,BUY,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:25:08.382996,USD_JPY,RANGE-SCALP-MID-LITE,SELL,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:30:22.560833,USD_JPY,CANDLE-ENGULF-TRAP-LITE,BUY,0,NEUTRAL,DOWNTREND,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:30:22.860182,USD_JPY,CANDLE-ENGULF-TRAP-LITE,SELL,1,NEUTRAL,DOWNTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"584" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"584" "requestID":"97409841086136127" "time":"2025-06-09T14:30:22.812419763Z" "type":"LIMIT_ORDER" "instrument":"USD_JPY" "units":"50000" "price":"144.611" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"144.610" "timeInForce":"GTC"} "stopLossOnFill":{"price":"144.612" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["584"] "lastTransactionID":"584"}
