time,open,high,low,close,volume
2025-03-23T21:00:00.000000000Z,1.28984,1.29108,1.28978,1.29088,110
2025-03-23T21:30:00.000000000Z,1.29079,1.2912,1.29066,1.29084,369
2025-03-23T22:00:00.000000000Z,1.29078,1.29238,1.29078,1.29119,2189
2025-03-23T22:30:00.000000000Z,1.29112,1.29156,1.29101,1.29143,1045
2025-03-23T23:00:00.000000000Z,1.29144,1.29183,1.2912,1.29176,1617
2025-03-23T23:30:00.000000000Z,1.29176,1.29266,1.29168,1.29254,1965
2025-03-24T00:00:00.000000000Z,1.29255,1.29325,1.29218,1.29309,2726
2025-03-24T00:30:00.000000000Z,1.29308,1.29346,1.29281,1.29337,3372
2025-03-24T01:00:00.000000000Z,1.29338,1.29351,1.29251,1.2926,3917
2025-03-24T01:30:00.000000000Z,1.29262,1.29278,1.29202,1.29241,4931
2025-03-24T02:00:00.000000000Z,1.2924,1.29303,1.29237,1.293,3054
2025-03-24T02:30:00.000000000Z,1.29301,1.29306,1.29234,1.29242,2732
2025-03-24T03:00:00.000000000Z,1.29245,1.29294,1.29245,1.29252,2653
2025-03-24T03:30:00.000000000Z,1.29251,1.29252,1.29128,1.29137,2989
2025-03-24T04:00:00.000000000Z,1.29138,1.29164,1.29113,1.29148,2547
2025-03-24T04:30:00.000000000Z,1.29147,1.29195,1.29147,1.29167,2116
2025-03-24T05:00:00.000000000Z,1.29168,1.2919,1.29127,1.29189,3332
2025-03-24T05:30:00.000000000Z,1.2919,1.29243,1.2918,1.29232,2691
2025-03-24T06:00:00.000000000Z,1.29231,1.29384,1.29224,1.29364,2978
2025-03-24T06:30:00.000000000Z,1.29365,1.29495,1.29356,1.29431,3315
2025-03-24T07:00:00.000000000Z,1.29432,1.29519,1.29389,1.29502,4396
2025-03-24T07:30:00.000000000Z,1.295,1.29524,1.29396,1.29478,4400
2025-03-24T08:00:00.000000000Z,1.29478,1.29571,1.2945,1.29549,6234
2025-03-24T08:30:00.000000000Z,1.29548,1.29575,1.29444,1.29531,6049
2025-03-24T09:00:00.000000000Z,1.29534,1.29544,1.29398,1.29497,4406
2025-03-24T09:30:00.000000000Z,1.29499,1.29652,1.29464,1.29608,6071
2025-03-24T10:00:00.000000000Z,1.29608,1.29729,1.29578,1.29706,3960
2025-03-24T10:30:00.000000000Z,1.29705,1.29743,1.29645,1.29662,4399
2025-03-24T11:00:00.000000000Z,1.29662,1.29672,1.29566,1.29578,3563
2025-03-24T11:30:00.000000000Z,1.29579,1.29586,1.2943,1.29446,3583
2025-03-24T12:00:00.000000000Z,1.29445,1.29503,1.2942,1.29453,5355
2025-03-24T12:30:00.000000000Z,1.29454,1.29484,1.29404,1.29436,5376
2025-03-24T13:00:00.000000000Z,1.29436,1.29448,1.29282,1.2934,5155
2025-03-24T13:30:00.000000000Z,1.29339,1.29435,1.29178,1.29183,8605
2025-03-24T14:00:00.000000000Z,1.29181,1.29502,1.2914,1.29402,8178
2025-03-24T14:30:00.000000000Z,1.294,1.294,1.2919,1.29272,8061
2025-03-24T15:00:00.000000000Z,1.29274,1.29282,1.29122,1.29125,6114
2025-03-24T15:30:00.000000000Z,1.29124,1.29209,1.29078,1.29118,6169
2025-03-24T16:00:00.000000000Z,1.29118,1.29243,1.29095,1.29097,4987
2025-03-24T16:30:00.000000000Z,1.29097,1.2913,1.28956,1.29036,5459
2025-03-24T17:00:00.000000000Z,1.29035,1.29115,1.29008,1.29113,3549
2025-03-24T17:30:00.000000000Z,1.29114,1.29122,1.29006,1.2911,3240
2025-03-24T18:00:00.000000000Z,1.29106,1.29118,1.29054,1.29094,2479
2025-03-24T18:30:00.000000000Z,1.29093,1.29302,1.29089,1.29262,4764
2025-03-24T19:00:00.000000000Z,1.29262,1.29289,1.2922,1.29229,2226
2025-03-24T19:30:00.000000000Z,1.29226,1.29244,1.29184,1.29214,1870
2025-03-24T20:00:00.000000000Z,1.29211,1.29276,1.29199,1.2925,2652
2025-03-24T20:30:00.000000000Z,1.29248,1.2925,1.29214,1.29234,1306
2025-03-24T21:00:00.000000000Z,1.29235,1.29236,1.292,1.29204,185
2025-03-24T21:30:00.000000000Z,1.29205,1.29234,1.29197,1.29228,334
2025-03-24T22:00:00.000000000Z,1.29228,1.29246,1.29169,1.29195,652
2025-03-24T22:30:00.000000000Z,1.29194,1.2921,1.29188,1.29205,332
2025-03-24T23:00:00.000000000Z,1.29204,1.29218,1.29192,1.29208,594
2025-03-24T23:30:00.000000000Z,1.29208,1.2924,1.29198,1.29232,796
2025-03-25T00:00:00.000000000Z,1.2923,1.2923,1.2917,1.29172,1577
2025-03-25T00:30:00.000000000Z,1.2917,1.292,1.29162,1.29174,1871
2025-03-25T01:00:00.000000000Z,1.29174,1.29258,1.29166,1.29216,2484
2025-03-25T01:30:00.000000000Z,1.29216,1.29248,1.29205,1.29214,2461
2025-03-25T02:00:00.000000000Z,1.29216,1.2924,1.2917,1.2918,2304
2025-03-25T02:30:00.000000000Z,1.29178,1.29202,1.29118,1.29136,2064
2025-03-25T03:00:00.000000000Z,1.29136,1.29189,1.29131,1.29146,1793
2025-03-25T03:30:00.000000000Z,1.29146,1.29251,1.29136,1.29249,1781
2025-03-25T04:00:00.000000000Z,1.2925,1.29288,1.29218,1.29271,2072
2025-03-25T04:30:00.000000000Z,1.29273,1.29285,1.29234,1.29236,1654
2025-03-25T05:00:00.000000000Z,1.29237,1.29283,1.29221,1.29269,1515
2025-03-25T05:30:00.000000000Z,1.2927,1.2927,1.29218,1.29228,1250
2025-03-25T06:00:00.000000000Z,1.29232,1.29232,1.2917,1.29174,2138
